,Title,Price (DKK),Year,KM driven,Motor (Litres),Manual/Automatic gear,Horsepower,Car Manufacturer
625,"Peugeot 208 1,0 VTi Access",29900,2014,227000,1.0,Manuelt gear,68,Peugeot
626,"Mercedes C180 1,6 AMG Line stc",269900,2015,130000,1.6,Automatgear,156,Mercedes
627,"Suzuki SX4 1,6 GL",29900,2007,179500,1.6,Manuelt gear,107,Suzuki
628,"VW Touran 1,4 TSi 150 Comfortline DSG 7prs",249900,2017,111500,1.4,Automatgear,150,VW
629,"Ford Fiesta 1,0 SCTi 100 Titanium",39900,2013,222000,1.0,Manuelt gear,100,Ford
630,"Kia Rio 1,0 T-GDi Vision Pioneer",114900,2018,86000,1.0,Manuelt gear,100,Kia
631,"Peugeot 308 1,6 VTi 120 Access",39900,2011,165000,1.6,Manuelt gear,120,Peugeot
632,"Hyundai i30 1,0 T-GDi Premium",179900,2019,35000,1.0,Manuelt gear,120,Hyundai
633,"Skoda Octavia 1,0 TSi 115 Style DSG",219900,2019,42900,1.0,Automatgear,115,Skoda
634,"Dacia Sandero 0,9 TCe 90 Ambiance",59900,2017,157000,0.9,Manuelt gear,90,Dacia
635,"Suzuki Ignis 1,2 Dualjet Adventure",99900,2019,167300,1.2,Manuelt gear,90,Suzuki
636,"Peugeot 107 1,0 Champion",24900,2013,218644,1.0,Manuelt gear,68,Peugeot
637,"Skoda Fabia 1,0 TSi 95 Ambition Combi",149900,2018,31000,1.0,Manuelt gear,95,Skoda
638,"Toyota Auris 1,6 T2 Premium Touring Sports",109900,2014,173600,1.6,Manuelt gear,132,Toyota
639,"Skoda Citigo 1,0 MPi 60 Style Spor",84900,2019,131000,1.0,Manuelt gear,60,Skoda
640,"Kia Rio 1,2 CVVT Limited",59900,2015,160000,1.2,Manuelt gear,86,Kia
641,"Honda Civic 1,8 Spor",39900,2007,198000,1.8,Manuelt gear,140,Honda
642,Skoda Kodiaq 1.5 TSI 150 DSG7,380000,2020,26500,1.5,Automatgear,150,Skoda
643,"Dacia Sandero 0,9 Tce Ambiance Start/Stop 90HK 5d",93500,2019,34000,0.9,Manuelt gear,90,Dacia
644,Renault Mégane IV,239900,2021,20000,1.3,Automatgear,140,Renault
645,"Renault Captur 0,9 Energy TCe Expression 90HK 5d",94900,2016,132000,0.9,Manuelt gear,90,Renault
646,Honda Jazz 1.3 i-VTEC,139700,2017,55100,1.3,Manuelt gear,102,Honda
647,Opel Crossland X 1.2 T 110 HK A,154500,2019,70000,1.2,Automatgear,110,Opel
648,Hyundai Tucson 1.6 T-GDi DCT,264700,2020,50500,1.6,Automatgear,177,Hyundai
649,VW Passat GTE DSG,309800,2020,28000,1.4,Automatgear,218,VW
650,"Volvo XC60 2,0 T6 R-design AWD 310HK 5d 8g A",535555,2019,68000,2.0,Automatgear,310,Volvo
651,Mazda CX-5 2.0 A,344700,2022,9900,2.0,Automatgear,165,Mazda
652,Nissan Qashqai Dig-T 160,199700,2018,63500,1.3,Manuelt gear,140,Nissan
653,"Ford S-MAX 2,0 EcoBoost Titanium Attack 240HK 6g A",249900,2017,85750,2.0,Automatgear,240,Ford
654,Nissan Qashqai MHEV 140,259700,2021,12300,1.3,Manuelt gear,140,Nissan
655,Hyundai Kona 1.0 T-GDi,254900,2023,1000,1.0,Manuelt gear,120,Hyundai
656,Fiat Tipo 1.4T 120 Hatchback,99700,2017,66000,1.4,Manuelt gear,120,Fiat
657,Mazda MX5 1.5 SkyActiv-G 132 HK,289700,2023,1000,1.5,Manuelt gear,132,Mazda
658,"Ford Kuga 2,5 Plugin-hybrid ST-Line X CVT 225HK 5d Trinl. Gear",339000,2022,19000,2.5,Automatgear,225,Ford
659,"Mazda CX-5 2,0 Skyactiv-G Sense 165HK 5d 6g A",349995,2022,4000,2.0,Automatgear,165,Mazda
660,Hyundai i20 1.0 T-GDi 5-dørs,194900,2022,1800,1.0,Manuelt gear,100,Hyundai
661,"Suzuki Ignis 1,2 Dualjet 16V GL+ 90HK 5d",104900,2016,74500,1.2,Manuelt gear,90,Suzuki
662,Opel Insignia 1.5T 140 HK Sports Tourer,174700,2018,102000,1.5,Manuelt gear,140,Opel
663,"Dacia Sandero 1,0 Tce Comfort 90HK 5d 6g",169900,2022,5000,1.0,Manuelt gear,90,Dacia
664,"Volvo XC60 2,0 T6 Recharge Plugin-hybrid Plus AWD 350HK 5d 8g A",659700,2023,14000,2.0,Automatgear,350,Volvo
665,"Volvo XC90 7 Sæder 2,0 T8 Recharge Plugin-hybrid Ultimate AWD 455HK 5d 8g A",999800,2023,19000,2.0,Automatgear,455,Volvo
666,Nissan Qashqai MHEV 158 Xtronic,314700,2021,18500,1.3,Automatgear,158,Nissan
667,"Volvo XC60 2,0 T8 Recharge Hybrid Plus AWD 455HK 5d 8g A",699700,2023,13864,2.0,Automatgear,455,Volvo
668,"Mazda CX-5 2,0 Skyactiv-G Sense 165HK 5d 6g A",349900,2022,2000,2.0,Automatgear,165,Mazda
669,"Mazda CX-5 2,0 Skyactiv-G Sense 165HK 5d 6g A",349900,2022,2525,2.0,Automatgear,165,Mazda
670,"Opel Crossland 1,2 PureTech GS-Line 110HK 5d 6g",209900,2022,13000,1.2,Manuelt gear,110,Opel
671,"Honda Civic 1,0 VTEC Turbo Comfort 129HK 5d 6g",164900,2018,81000,1.0,Manuelt gear,129,Honda
672,"Kia Picanto 1,2 Premium",57800,2015,102000,1.2,Manuelt gear,86,Kia
673,Audi Q3 45 TFSi e Attitude+ S tronic,339900,2021,30000,1.4,Automatgear,245,Audi
674,Audi Q3 45 TFSi e S-line+ S tronic,394900,2022,8000,1.4,Automatgear,245,Audi
675,Audi Q3 45 TFSi e S-line+ S tronic,359900,2021,56000,1.4,Automatgear,245,Audi
676,Audi A6 50 TFSi e Sport quattro S tronic,464900,2020,62500,2.0,Automatgear,299,Audi
677,Audi Q3 45 TFSi e Attitude+ S tronic,369900,2023,19000,1.4,Automatgear,245,Audi
678,"VW Polo 1,5 TSi 150 Comfortline DSG",209900,2020,90000,1.5,Automatgear,150,VW
679,Mercedes E300 0 Coupé,499900,2018,76000,2.0,Automatgear,245,Mercedes
680,"Opel Grandland X 1,2 T 130 Impress",244900,2020,47000,1.2,Automatgear,130,Opel
681,Audi A6 55 TFSi e Sport Prestige Avant quattro S tronic,649900,2023,10000,2.0,Automatgear,367,Audi
682,Audi Q3 45 TFSi e Attitude+ S tronic,389900,2023,16000,1.4,Automatgear,245,Audi
683,"Skoda Octavia 1,4 TSi iV Plus DSG",324900,2022,12000,1.4,Automatgear,204,Skoda
684,"Skoda Kodiaq 1,5 TSi 150 Style DSG",479900,2023,4300,1.5,Automatgear,150,Skoda
685,"VW T-Cross - 1,5 TSi 150 Style DSG",299900,2023,9000,1.5,Automatgear,150,VW
686,"Skoda Kamiq 1,0 TSi 110 Tour de France",229800,2022,38000,1.0,Manuelt gear,110,Skoda
687,"Fiat Panda 0,9 TwinAir 60 Popstar",59500,2015,63500,0.9,Manuelt gear,60,Fiat
688,"Ford Focus 1,5 EcoBoost Titanium",197600,2019,110000,1.5,Automatgear,150,Ford
689,"Ford Puma 1,0 EcoBoost mHEV ST-Line",209800,2020,31000,1.0,Manuelt gear,125,Ford
690,"Volvo XC60 2,0 T5 250 Inscription aut. AWD",482800,2018,93000,2.0,Automatgear,250,Volvo
691,"Audi TT 1,8 TFSi 180 Coupé S tronic",359900,2016,61000,1.8,Automatgear,180,Audi
692,"Seat Ibiza 1,0 MPi 80 Style",159900,2023,9000,1.0,Manuelt gear,80,Seat
693,"Skoda Kodiaq 1,5 TSi 150 Style DSG",479900,2023,5800,1.5,Automatgear,150,Skoda
694,Audi A6 50 TFSi e Sport Prestige Avant quattro S tronic,599900,2023,4000,2.0,Automatgear,299,Audi
695,"VW Arteon 1,5 TSi 150 Elegance Business DSG",334900,2018,60000,1.5,Automatgear,150,VW
696,"Ford Focus 1,5 EcoBoost Titanium stc",239900,2019,57000,1.5,Automatgear,150,Ford
697,"Opel Mokka 1,2 T 130 Edition+",249900,2021,21000,1.2,Automatgear,130,Opel
698,"Mitsubishi ASX 1,6 Invite",109900,2016,123000,1.6,Manuelt gear,117,Mitsubishi
699,Audi Q3 45 TFSi e Attitude+ S tronic,394900,2022,6000,5.0,Automatgear,245,Audi
700,"Skoda Octavia 1,4 TSi 140 Elegance",139900,2015,80000,1.4,Manuelt gear,140,Skoda
701,"VW T-Roc 1,5 TSi 150 Style DSG",279900,2020,71000,1.5,Automatgear,150,VW
702,"Skoda Octavia 1,4 TSi iV Plus DSG",324900,2023,11000,1.4,Automatgear,204,Skoda
703,"Skoda Fabia 1,0 TSi 95 Style Combi",154900,2019,61000,1.0,Manuelt gear,95,Skoda
704,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,16000,1.5,Automatgear,150,VW
705,"VW T-Cross - 1,0 TSi 110 Life+ DSG",269900,2023,9000,1.0,Automatgear,110,VW
706,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,7500,1.5,Automatgear,150,VW
707,Audi Q3 35 TFSi Advanced S tronic,309900,2019,56000,1.5,Automatgear,150,Audi
708,"VW Touran 1,4 TSi 150 Comfortline DSG 7prs",239900,2017,120000,1.4,Automatgear,150,VW
709,"VW Tiguan 1,5 TSi 150 Elegance DSG",439900,2022,20000,1.5,Automatgear,150,VW
710,"VW Tiguan 1,5 TSi 150 Life DSG",384900,2022,22000,1.5,Automatgear,150,VW
711,"Ford Mondeo 1,5 EcoBoost Titanium stc",174900,2018,170000,1.5,Automatgear,165,Ford
712,"Nissan Juke 1,0 Dig-T 117 N-Connec",199800,2020,39000,1.0,Manuelt gear,117,Nissan
713,"Mercedes GLC250 2,0 AMG Line aut. 4Matic",414900,2016,48000,2.0,Automatgear,211,Mercedes
714,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,3500,1.5,Automatgear,150,VW
715,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,12000,1.5,Automatgear,150,VW
716,"Citroën C3 Picasso 1,2 PureTech 110 Seduction",72900,2015,125000,1.2,Manuelt gear,110,Citroën
717,Audi Q3 45 TFSi e Attitude+ S tronic,399900,2023,6000,1.4,Automatgear,245,Audi
718,"Audi A3 Sportback 1,4 TFSi 125 Ambition",169900,2016,88500,1.4,Manuelt gear,125,Audi
719,"Skoda Fabia 1,2 TSi 90 Ambition Combi",94900,2016,155000,1.2,Manuelt gear,90,Skoda
720,Audi Q3 45 TFSi e S-line+ S tronic,364900,2021,60000,1.4,Automatgear,245,Audi
721,"Skoda Rapid 1,2 TSi 105 Tour de France Spaceback",114800,2015,59000,1.2,Manuelt gear,105,Skoda
722,Audi Q2 35 TFSi Prestige S tronic,335900,2023,4000,1.5,Automatgear,150,Audi
723,Audi Q5 50 TFSi e S-line quattro S tronic,544900,2021,16000,2.0,Automatgear,299,Audi
724,"VW Golf VIII 1,5 eTSi 130 Life DSG",334900,2023,4000,1.5,Automatgear,130,VW
725,"Mazda MX5 1,5 SkyActiv-G 131 Roadster",199800,2016,76000,1.5,Manuelt gear,131,Mazda
726,"VW Tiguan 1,5 TSi 150 Life DSG",389900,2022,16000,1.5,Automatgear,150,VW
727,"Seat Ibiza 1,0 MPi 80 Style",159900,2023,9000,1.0,Manuelt gear,80,Seat
728,"Seat Ibiza 1,0 MPi 80 Style",159900,2023,6000,1.0,Manuelt gear,80,Seat
729,"VW Golf VII 1,4 TSi 122 Comfortline BMT",99800,2014,165600,1.4,Manuelt gear,122,VW
730,"Cupra Formentor 2,0 TSi DSG 4x4",449900,2023,7000,2.0,Automatgear,190,Cupra
731,Audi Q3 45 TFSi e Attitude+ S tronic,394900,2023,6000,1.4,Automatgear,245,Audi
732,Audi A4 40 TFSi Prestige+ Avant S tronic,439900,2022,9000,2.0,Automatgear,204,Audi
733,"VW Golf VIII 1,5 eTSi 130 Life DSG",334900,2023,10000,1.5,Automatgear,130,VW
734,"VW T-Cross - 1,0 TSi 110 Life+ DSG",279900,2023,9000,1.0,Automatgear,110,VW
735,"Skoda Kodiaq 1,5 TSi 150 Style DSG",379900,2020,32000,1.5,Automatgear,150,Skoda
736,"Citroën Xsara Picasso 1,6i 8V 95 Advance",4000,2005,220000,1.6,Manuelt gear,95,Citroën
737,"VW Polo 1,0 TSi 115 Highline DSG",209900,2020,43500,1.0,Automatgear,115,VW
738,Audi A5 Sportback 40 TFSi Prestige+ S tronic,494900,2023,8000,2.0,Automatgear,204,Audi
739,"VW Golf VIII 1,5 eTSi 130 Life DSG",309900,2022,15000,1.5,Automatgear,130,VW
740,"VW T-Roc 1,5 TSi 150 Life DSG",339900,2023,10000,1.5,Automatgear,150,VW
741,Audi Q5 50 TFSi e S-line Sportback quattro S tronic,529900,2023,22000,2.0,Automatgear,299,Audi
742,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,12000,1.5,Automatgear,150,VW
743,"VW Tiguan 1,4 TSi 150 Highline DSG 4Motion",319900,2018,73000,1.4,Automatgear,150,VW
744,"Skoda Fabia 1,2 TSi 90 Style",99900,2016,116000,1.2,Manuelt gear,90,Skoda
745,Audi Q3 45 TFSi e Attitude+ Sportback S tronic,394900,2023,6000,1.4,Automatgear,245,Audi
746,Audi A6 50 TFSi e Sport Prestige Avant quattro S tronic,549900,2021,35000,2.0,Automatgear,299,Audi
747,"Ford Focus 1,0 SCTi 100 Edition ECO",74900,2014,168000,1.0,Manuelt gear,100,Ford
748,Audi Q3 45 TFSi e Attitude+ S tronic,399900,2023,8000,1.4,Automatgear,245,Audi
749,Audi Q3 45 TFSi e Attitude+ S tronic,394900,2023,7000,1.4,Automatgear,245,Audi
750,"VW Tiguan 1,5 TSi 150 Life DSG",399900,2022,5000,1.5,Automatgear,150,VW
751,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,7000,1.5,Automatgear,150,VW
752,Audi Q3 45 TFSi e Attitude+ S tronic,384900,2023,10000,1.4,Automatgear,245,Audi
753,Audi Q3 45 TFSi e S-line+ Sportback S tronic,409900,2022,10000,1.4,Automatgear,245,Audi
754,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,15000,1.5,Automatgear,150,VW
755,"VW Tiguan 1,5 TSi 150 Life DSG",389900,2022,20000,1.5,Automatgear,150,VW
756,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,5000,1.5,Automatgear,150,VW
757,Audi Q3 45 TFSi e Attitude+ S tronic,376200,2023,21000,1.4,Automatgear,245,Audi
758,Audi A4 40 TFSi Prestige+ Avant S tronic,459900,2023,13000,2.0,Automatgear,204,Audi
759,Audi Q2 35 TFSi Sport Prestige+ S tronic,274900,2020,60000,1.5,Automatgear,150,Audi
760,Audi A4 40 TFSi Prestige+ Avant S tronic,454900,2022,10000,2.0,Automatgear,204,Audi
761,"Skoda Kamiq 1,0 TSi 110 Tour de France DSG",259900,2023,12000,1.0,Automatgear,110,Skoda
762,"VW T-Roc 1,5 TSi 150 Style DSG",349900,2023,8500,1.5,Automatgear,150,VW
763,Audi Q3 45 TFSi e Attitude+ S tronic,394900,2023,11000,1.4,Automatgear,245,Audi
764,Audi Q3 35 TFSi Advanced S tronic,314900,2019,85000,1.5,Automatgear,150,Audi
765,Audi Q3 45 TFSi e Attitude+ Sportback S tronic,397900,2023,17000,1.4,Automatgear,245,Audi
766,Audi Q3 45 TFSi e Attitude+ S tronic,379900,2023,4700,1.4,Automatgear,245,Audi
767,Audi A3 Sportback 40 TFSi Sport Limited S tronic,264900,2019,96000,2.0,Automatgear,190,Audi
768,Audi Q3 45 TFSi e Attitude+ S tronic,369900,2022,12000,5.0,Automatgear,245,Audi
769,"Skoda Fabia 1,0 TSi 95 Ambition",128800,2019,77000,1.0,Manuelt gear,95,Skoda
770,Audi Q3 45 TFSI e 5-dørs S tronic 110KW,349900,2021,13000,1.4,Automatgear,245,Audi
771,Audi Q3 45 TFSi e Attitude+ S tronic,344900,2021,20000,1.4,Automatgear,245,Audi
772,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,3000,1.5,Automatgear,150,VW
773,"VW Golf VIII 1,5 eTSi 130 Life DSG",334900,2023,10000,1.5,Automatgear,130,VW
774,"VW Golf VIII 1,5 TSi 130 Life",284900,2022,11000,1.5,Manuelt gear,130,VW
775,Audi Q2 30 TFSi Prestige,274900,2022,18700,1.0,Manuelt gear,110,Audi
776,"VW Tiguan 1,5 TSi 150 Life DSG",399900,2022,5200,1.5,Automatgear,150,VW
777,Audi Q3 35 TFSi Prestige S tronic,329900,2020,77000,1.5,Automatgear,150,Audi
778,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,12000,1.5,Automatgear,150,VW
779,Audi Q2 35 TFSi Prestige S tronic,334900,2023,7000,1.5,Automatgear,150,Audi
780,"VW T-Roc 1,5 TSi 150 Life DSG",344900,2023,6000,1.5,Automatgear,150,VW
781,"VW T-Roc 1,0 TSi 110 Life",279900,2022,8000,1.0,Manuelt gear,110,VW
782,"VW Golf VII 1,5 TSi 150 Comfortline",209900,2018,48000,1.5,Manuelt gear,150,VW
783,"Peugeot 208 1,2 VTi Active",49900,2014,140000,1.2,Manuelt gear,82,Peugeot
784,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,7400,1.5,Automatgear,150,VW
785,Audi Q5 50 TFSi e S-line quattro S tronic,569900,2022,6000,2.0,Automatgear,299,Audi
786,"Skoda Kodiaq 1,5 TSi 150 Style DSG",454900,2022,11000,1.5,Automatgear,150,Skoda
787,Audi A4 40 TFSi Prestige+ Avant S tronic,472900,2023,8000,2.0,Automatgear,204,Audi
788,"Skoda Octavia 1,0 eTSi 110 Style DSG",314900,2022,8500,1.0,Automatgear,110,Skoda
789,"Skoda Octavia 1,4 TSi iV Plus Combi DSG",334900,2022,9529,1.4,Automatgear,204,Skoda
790,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,9000,1.5,Automatgear,150,VW
791,Audi A4 40 TFSi S-line Avant S tronic,507900,2023,10000,2.0,Automatgear,204,Audi
792,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,11000,1.5,Automatgear,150,VW
793,Audi A4 40 TFSi S-line Avant S tronic,492900,2023,8000,2.0,Automatgear,204,Audi
794,"Skoda Octavia 1,4 TSi iV Plus Combi DSG",334900,2022,9000,1.4,Automatgear,204,Skoda
795,"Skoda Octavia 1,4 TSi iV Plus Combi DSG",328800,2022,16500,1.4,Automatgear,204,Skoda
796,Audi A6 50 TFSi e Sport Prestige quattro S tronic,549900,2022,13000,2.0,Automatgear,299,Audi
797,"VW T-Cross - 1,5 TSi 150 Life DSG",289900,2022,12000,1.5,Automatgear,150,VW
798,"VW T-Roc 1,5 TSi 150 Style DSG",239900,2019,123000,1.5,Automatgear,150,VW
799,Audi Q5 50 TFSi e S-line quattro S tronic,544900,2021,11702,2.0,Automatgear,299,Audi
800,"VW T-Cross - 1,5 TSi 150 Life DSG",294900,2022,10000,1.5,Automatgear,150,VW
801,"VW T-Roc 1,0 TSi 110 Life",304900,2022,2700,1.0,Automatgear,110,VW
802,Audi Q2 35 TFSi Prestige S tronic,332500,2023,8000,1.5,Automatgear,150,Audi
803,Audi A4 40 TFSi Prestige+ Avant S tronic,467900,2023,8000,2.0,Automatgear,204,Audi
804,Audi Q2 35 TFSi Prestige S tronic,335900,2023,6000,1.5,Automatgear,150,Audi
805,Audi A5 Sportback 40 TFSi Prestige+ S tronic,509900,2023,13000,2.0,Automatgear,204,Audi
806,"VW T-Cross - 1,0 TSi 110 Life+ DSG",269900,2022,19000,1.0,Automatgear,110,VW
807,Audi Q5 50 TFSi e Prestige quattro S tronic,539900,2023,6000,2.0,Automatgear,299,Audi
808,"VW Polo 1,2 TSi 90 Comfortline",114900,2014,53000,1.2,Manuelt gear,90,VW
809,"VW T-Roc 1,5 TSi 150 Life DSG",334900,2022,5000,1.5,Automatgear,150,VW
810,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,14000,1.5,Automatgear,150,VW
811,Audi Q3 45 TFSi e Attitude+ Sportback S tronic,399900,2022,13000,1.4,Automatgear,245,Audi
812,"Skoda Kodiaq 1,5 TSi 150 Style DSG",459900,2022,11000,1.5,Automatgear,150,Skoda
813,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,7000,1.5,Automatgear,150,VW
814,"VW T-Cross - 1,0 TSi 110 Life+ DSG",284900,2023,5000,1.0,Automatgear,110,VW
815,Audi Q2 30 TFSi Prestige,289900,2023,15000,1.0,Manuelt gear,110,Audi
816,Audi Q3 35 TFSi S tronic,329900,2018,76000,5.0,Automatgear,150,Audi
817,"VW Polo 1,0 TSi 95 Life DSG",234900,2022,8000,1.0,Automatgear,95,VW
818,"VW Golf VIII 1,5 TSi 130 Life",279900,2022,19000,1.5,Manuelt gear,130,VW
819,"Audi Q3 1,4 TFSi 150 Sport Limited S tronic",249900,2018,85000,1.4,Automatgear,150,Audi
820,"Cupra Formentor 2,0 TSi DSG 4x4",449900,2023,25000,2.0,Automatgear,190,Cupra
821,"VW T-Roc 1,5 TSi 150 Life DSG",319900,2023,17000,1.5,Automatgear,150,VW
822,"Audi Q3 1,4 TFSi 150 Sport Limited S tronic",279900,2018,49000,1.4,Automatgear,150,Audi
823,Audi Q3 45 TFSi e Attitude+ S tronic,369900,2023,14000,1.4,Automatgear,245,Audi
824,"VW Golf VIII 1,5 TSi 130 Life",284900,2023,13000,1.5,Manuelt gear,130,VW
825,"VW T-Cross - 1,0 TSi 110 Life+ DSG",269900,2022,19000,1.0,Automatgear,110,VW
826,"Skoda Octavia 1,4 TSi iV Plus Combi DSG",329900,2022,5000,1.4,Automatgear,204,Skoda
827,"VW Polo 1,4 16V United 80HK 5d 1,4 16V United 80HK 5d",44900,2008,38000,1.4,Manuelt gear,80,VW
828,"VW Polo 1,2 TSI Comfortline 90HK 5d 1,2 TSI Comfortline 90HK 5d",99900,2012,34000,1.2,Manuelt gear,90,VW
829,"Ford Fiesta 1,0 SCTi 125 Titanium",49700,2014,207000,1.0,Manuelt gear,125,Ford
830,"Opel Crossland X 1,2 Innovation",124700,2018,56000,1.2,Manuelt gear,81,Opel
831,"VW Tiguan 1,5 TSi 150 Elegance DSG",439900,2022,20000,1.5,Automatgear,150,VW
832,"Seat Mii 1,0 Style 75HK 5d Aut. 1,0 Style 75HK 5d A",69900,2013,82000,1.0,Automatgear,75,Seat
833,"Ford Focus 1,0 SCTi 100 Edition ECO",57700,2013,197000,1.0,Manuelt gear,100,Ford
834,"Ford Focus 1,0 SCTi 125 Titanium stc. ECO",64700,2012,160000,1.0,Manuelt gear,125,Ford
835,"Opel Insignia 1,5 T 165 Innovation Sports Tourer",169700,2017,186000,1.5,Automatgear,165,Opel
836,"VW Golf VII 1,5 TSi 130 Comfortline",159700,2018,103000,1.5,Manuelt gear,130,VW
837,"Skoda Octavia 1,5 TSi 150 Style Combi DSG",169700,2019,187000,1.5,Automatgear,150,Skoda
838,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2023,3500,1.5,Automatgear,150,VW
839,"Audi A3 Sportback 1,4 TFSi 125 Ambition S-tr",195700,2016,70000,1.4,Automatgear,125,Audi
840,"Skoda Citigo 1,0 MPI Ambition 60HK 5d Aut. 1,0 MPI Ambition 60HK 5d A",54900,2014,172000,1.0,Automatgear,60,Skoda
841,"VW T-Roc 2,0 TSi 190 DSG 4M",231700,2018,132000,2.0,Automatgear,190,VW
842,"Skoda Octavia 1,4 TSi 150 Style Combi DSG",139700,2015,180000,1.4,Automatgear,150,Skoda
843,"Renault Captur 0,9 TCe 90 Expression",84700,2015,110000,0.9,Manuelt gear,90,Renault
844,"Skoda Octavia 1,4 TSi 150 Style Combi DSG",177700,2018,129000,1.4,Automatgear,150,Skoda
845,"VW T-Cross - 1,0 TSi 110 Life+ DSG",279900,2023,9000,1.0,Automatgear,110,VW
846,"Mazda 6 2,0 Advance 147HK Stc 6g 2,0 Advance 147HK Stc 6g",29900,2008,241000,2.0,Manuelt gear,147,Mazda
847,"Peugeot 107 1,0 Access 68HK 5d 1,0 Access 68HK 5d",22900,2011,245000,1.0,Manuelt gear,68,Peugeot
848,"VW Passat Variant 1,8 TSI Sportline Edit 160HK Stc 6g Variant 1,8 TSI Sportline Edit 160HK Stc 6g",39900,2010,307000,1.8,Manuelt gear,160,VW
849,"Citroën C1 1,0 VTi 68 Feel",29700,2014,169000,1.0,Manuelt gear,68,Citroën
850,Mini Cooper Cooper115HK 3d115HK 3d,59900,2006,170000,1.6,Manuelt gear,115,Mini
851,"Audi A3 Sportback 1,4 TFSi 125 Ambition S-tr",174700,2015,122000,1.4,Automatgear,125,Audi
852,"Citroën C1 1,2 PureTech 82 Comple",53700,2017,127000,1.2,Manuelt gear,82,Citroën
853,"Skoda Superb 1,4 TSi 150 Business Executive Combi DSG",219700,2017,183000,1.4,Automatgear,150,Skoda
854,"Mazda 2 1,5 SkyActiv-G 90 Sky",114700,2019,73000,1.5,Manuelt gear,90,Mazda
855,"Dacia Sandero 1,2 16V Base",44700,2015,84000,1.2,Manuelt gear,75,Dacia
856,"Dacia Lodgy 1,6 16V Ambiance 82HK",64900,2014,73000,1.6,Manuelt gear,82,Dacia
857,"Peugeot 208 1,2 e-THP 110 Allure",77700,2015,107000,1.2,Manuelt gear,110,Peugeot
858,"Opel Crossland X 1,2 Enjoy",115700,2017,73000,1.2,Manuelt gear,81,Opel
859,"Seat Mii 1,0 60 Reference eco",49700,2014,82000,1.0,Manuelt gear,60,Seat
860,"Peugeot 2008 1,2 e-THP Selection Sky 110HK 5d 1,2 e-THP Selection Sky 110HK 5d",134900,2018,56000,1.2,Manuelt gear,110,Peugeot
861,"VW Golf V 1,4 TSi 122 Sportline Varian",37700,2008,264000,1.4,Manuelt gear,122,VW
862,"Skoda Kamiq 1,0 TSi 110 Tour de France DSG",259900,2023,12000,1.0,Automatgear,110,Skoda
863,"VW T-Roc 1,5 TSi 150 Style DSG",349900,2023,8500,1.5,Automatgear,150,VW
864,"Hyundai i10 1,0 Comfor",69700,2017,69000,1.0,Manuelt gear,66,Hyundai
865,"Peugeot 208 1,2 VTi Active",39700,2014,199000,1.2,Manuelt gear,82,Peugeot
866,"Audi A5 Sportback 1,8 TFSi 170 Multitr",159700,2012,211000,1.8,Automatgear,170,Audi
867,"Dacia Logan 0,9 TCe 90 Ambiance MCV Easy-R",114700,2018,23000,0.9,Automatgear,90,Dacia
868,"VW Passat 1,4 TSi 150 Comfortline Varian",199700,2016,118000,1.4,Automatgear,150,VW
869,"Cupra Formentor 1,5 TSi DSG",334700,2022,19000,1.5,Automatgear,150,Cupra
870,"Suzuki Vitara 1,0 Boosterjet Active",179700,2020,24000,1.0,Manuelt gear,112,Suzuki
871,"Mazda 3 2,0 SkyActiv-G 122 Sky",194700,2020,23000,2.0,Manuelt gear,122,Mazda
872,"VW Polo 1,2 Trendline 60HK 3d 1,2 Trendline 60HK 3d",49900,2013,194000,1.2,Manuelt gear,60,VW
873,VW Golf V,32900,2004,115000,1.4,Manuelt gear,75,VW
874,"Ford Fiesta 1,25 Trend 60HK 5d 1,25 Trend 60HK 5d",34900,2011,195000,1.3,Manuelt gear,60,Ford
875,"Skoda Octavia 1,4 TSi iV Plus Combi DSG",334900,2022,9000,1.4,Automatgear,204,Skoda
876,"VW T-Roc 1,0 TSi 110 Life",304900,2022,2700,1.0,Automatgear,110,VW
877,"Peugeot 2008 1,2 VTi Active+ 82HK 1,2 VTi Active+ 82HK",99900,2017,120000,1.2,Manuelt gear,82,Peugeot
878,"Chevrolet Aveo 1,2 LTZ 86HK 5d 1,2 LTZ 86HK 5d",39900,2014,216000,1.2,Manuelt gear,86,Chevrolet
879,"VW Polo 1,4 16V Trendline 75HK 3d 1,4 16V Trendline 75HK 3d",22900,2006,251000,1.4,Manuelt gear,75,VW
